invoice_id,customer_id,order_date,product_id,quantity,unit_price,revenue
INV-86484,C0150,2024-02-13,P028,1,483.3,483.3
INV-28131,C0093,2024-06-05,P015,1,592.26,592.26
INV-16175,C0127,2025-05-31,P006,2,127.24,254.48
INV-92240,C0029,2023-06-13,P010,1,491.12,491.12
INV-88172,C0175,2023-03-07,P028,2,440.11,880.22
INV-88104,C0099,2024-04-24,P025,2,53.69,107.38
INV-82512,C0136,2025-05-31,P017,1,78.36,78.36
INV-25014,C0003,2024-11-29,P044,3,377.75,1133.25
INV-44973,C0138,2025-02-26,P049,1,47.5,47.5
INV-24621,C0165,2023-10-28,P022,1,201.86,201.86
INV-69470,C0112,2023-01-04,P011,2,386.16,772.32
INV-33416,C0068,2024-06-03,P033,4,288.61,1154.44
INV-49117,C0028,2025-05-11,P041,1,430.81,430.81
INV-89818,C0164,2023-07-23,P033,2,341.15,682.3
INV-31174,C0040,2024-07-06,P024,2,301.34,602.68
INV-88504,C0136,2023-11-28,P001,1,262.25,262.25
INV-24662,C0126,2025-08-09,P002,1,73.66,73.66
INV-41385,C0093,2023-03-01,P020,1,385.48,385.48
INV-20322,C0062,2023-03-29,P037,1,310.06,310.06
INV-79822,C0125,2025-02-23,P005,4,157.08,628.32
INV-96474,C0033,2024-05-01,P009,1,455.78,455.78
INV-44741,C0141,2024-06-24,P011,1,55.42,55.42
INV-37760,C0156,2025-08-09,P028,1,105.12,105.12
INV-36365,C0139,2024-12-31,P049,5,486.79,2433.9500000000003
INV-98039,C0080,2024-10-27,P026,2,524.16,1048.32
INV-77839,C0096,2024-04-07,P029,3,120.08,360.24
INV-39451,C0031,2023-03-07,P016,4,328.21,1312.84
INV-87110,C0087,2024-07-21,P002,3,538.69,1616.0700000000002
INV-38864,C0059,2023-01-08,P038,1,74.93,74.93
INV-92719,C0019,2023-03-02,P046,1,261.99,261.99
INV-14117,C0059,2025-05-30,P005,3,517.83,1553.4900000000002
INV-77391,C0085,2023-09-01,P005,1,311.34,311.34
INV-73624,C0072,2023-08-08,P043,1,141.04,141.04
INV-84847,C0139,2024-08-13,P009,1,209.19,209.19
INV-71993,C0122,2025-04-06,P016,5,200.69,1003.45
INV-22363,C0105,2023-04-10,P013,1,424.78,424.78
INV-56438,C0169,2024-03-09,P028,1,583.35,583.35
INV-17100,C0106,2024-11-20,P030,6,158.55,951.3000000000001
INV-22899,C0168,2023-03-04,P042,1,187.52,187.52
INV-54473,C0104,2025-03-30,P047,1,31.76,31.76
INV-35112,C0028,2023-07-14,P016,1,306.58,306.58
INV-28373,C0138,2024-03-08,P029,1,174.4,174.4
INV-70637,C0047,2023-09-13,P018,4,151.34,605.36
INV-82132,C0020,2023-04-11,P029,1,298.78,298.78
INV-80855,C0013,2025-05-06,P042,8,152.81,1222.48
INV-40982,C0004,2023-06-20,P006,2,459.36,918.72
INV-73092,C0105,2023-08-07,P032,1,439.65,439.65
INV-31579,C0103,2024-01-24,P004,1,383.06,383.06
INV-44760,C0001,2025-08-06,P025,2,326.11,652.22
INV-65444,C0117,2024-12-14,P019,1,502.83,502.83
INV-73788,C0143,2023-06-08,P043,1,120.05,120.05
INV-38534,C0049,2023-03-01,P019,1,358.63,358.63
INV-81066,C0149,2023-03-04,P048,2,19.79,39.58
INV-16572,C0081,2024-08-21,P004,1,143.63,143.63
INV-79615,C0123,2023-06-11,P033,2,112.88,225.76
INV-20500,C0015,2025-05-21,P033,2,238.17,476.34
INV-87992,C0048,2023-03-11,P005,5,91.14,455.7
INV-62923,C0173,2023-05-03,P016,1,76.95,76.95
INV-85880,C0146,2024-08-31,P016,5,527.63,2638.15
INV-20745,C0011,2024-03-05,P040,1,399.39,399.39
INV-84085,C0169,2024-06-19,P038,3,337.57,1012.71
INV-36772,C0081,2024-11-16,P017,1,152.69,152.69
INV-44814,C0081,2024-02-10,P016,1,539.36,539.36
INV-94607,C0034,2023-11-04,P043,4,383.53,1534.12
INV-19508,C0118,2023-01-10,P021,1,216.03,216.03
INV-83792,C0118,2023-04-13,P040,2,539.3,1078.6
INV-37938,C0019,2024-06-02,P035,4,470.13,1880.52
INV-55745,C0068,2025-06-21,P009,2,59.64,119.28
INV-58434,C0018,2023-10-19,P016,1,540.15,540.15
INV-81200,C0041,2024-12-21,P029,1,15.43,15.43
INV-95717,C0078,2024-06-25,P040,1,401.47,401.47
INV-82692,C0003,2023-11-03,P043,1,104.88,104.88
INV-27601,C0170,2023-09-28,P007,1,418.22,418.22
INV-82512,C0030,2023-06-09,P007,2,142.32,284.64
INV-89276,C0070,2023-08-04,P019,2,149.98,299.96
INV-93130,C0088,2025-05-23,P014,1,450.43,450.43
INV-74032,C0068,2023-09-15,P033,2,511.04,1022.08
INV-93136,C0014,2024-03-09,P006,2,345.3,690.6
INV-10464,C0071,2023-12-08,P003,1,226.95,226.95
INV-44335,C0034,2023-06-15,P041,1,153.95,153.95
INV-66057,C0114,2024-07-28,P036,7,241.93,1693.51
INV-19862,C0003,2025-08-25,P008,4,382.37,1529.48
INV-81511,C0177,2023-02-06,P010,3,306.56,919.6800000000001
INV-82420,C0095,2023-06-01,P038,1,300.59,300.59
INV-15482,C0111,2023-11-12,P009,1,436.25,436.25
INV-56898,C0094,2023-08-04,P003,1,24.35,24.35
INV-97416,C0175,2023-04-16,P016,2,114.5,229.0
INV-83385,C0091,2025-06-24,P050,5,572.82,2864.1000000000004
INV-30257,C0105,2025-08-05,P040,4,228.39,913.56
INV-33206,C0061,2025-06-21,P011,1,557.71,557.71
INV-33509,C0106,2025-01-24,P002,1,580.33,580.33
INV-97806,C0086,2025-06-03,P027,6,513.28,3079.68
INV-30866,C0064,2025-03-17,P018,1,237.21,237.21
INV-60140,C0180,2025-06-12,P007,3,196.98,590.9399999999999
INV-39154,C0010,2023-07-24,P031,1,338.51,338.51
INV-50001,C0118,2025-04-20,P023,5,420.66,2103.3
INV-13101,C0059,2024-11-06,P015,1,67.33,67.33
INV-53025,C0050,2023-10-13,P026,1,594.13,594.13
INV-46585,C0018,2023-12-26,P050,1,315.81,315.81
INV-62386,C0165,2024-11-26,P033,4,447.05,1788.2
INV-13617,C0138,2023-04-29,P022,2,424.47,848.94
INV-86099,C0067,2023-09-29,P012,1,183.22,183.22
INV-88193,C0010,2024-03-20,P007,3,487.97,1463.91
INV-51114,C0089,2024-03-22,P047,4,548.81,2195.24
INV-25157,C0156,2024-01-30,P033,1,305.89,305.89
INV-43386,C0148,2023-02-15,P013,3,393.48,1180.44
INV-78146,C0112,2025-08-05,P001,2,479.52,959.04
INV-97900,C0138,2023-07-21,P044,4,209.42,837.68
INV-19171,C0094,2025-08-29,P028,1,65.45,65.45
INV-91678,C0171,2023-11-18,P022,1,31.21,31.21
INV-49363,C0170,2024-06-03,P008,1,330.16,330.16
INV-63528,C0080,2023-12-01,P043,1,358.59,358.59
INV-48752,C0104,2024-07-21,P045,1,32.04,32.04
INV-65108,C0033,2024-11-11,P013,3,222.51,667.53
INV-32810,C0098,2024-09-22,P044,1,318.12,318.12
INV-63225,C0146,2024-07-15,P020,2,137.33,274.66
INV-47606,C0001,2023-08-04,P020,1,60.36,60.36
INV-89516,C0111,2024-11-01,P038,1,323.5,323.5
INV-67905,C0083,2024-03-28,P030,1,386.08,386.08
INV-77000,C0173,2024-04-29,P014,2,585.75,1171.5
INV-21114,C0044,2023-10-18,P043,1,200.54,200.54
INV-92960,C0132,2024-09-26,P043,3,169.79,509.37
INV-40784,C0086,2024-11-19,P006,1,56.29,56.29
INV-36100,C0080,2023-05-31,P015,1,577.96,577.96
INV-42092,C0007,2024-05-01,P003,3,420.62,1261.8600000000001
INV-19545,C0157,2024-04-11,P050,1,112.24,112.24
INV-85454,C0107,2023-07-19,P041,1,157.64,157.64
INV-74799,C0179,2024-02-14,P025,1,431.61,431.61
INV-95990,C0063,2024-12-05,P010,2,175.16,350.32
INV-23970,C0002,2025-03-08,P049,6,445.36,2672.16
INV-33053,C0109,2025-04-03,P015,1,370.92,370.92
INV-70889,C0179,2023-02-21,P034,1,156.16,156.16
INV-25906,C0143,2024-04-12,P016,1,457.13,457.13
INV-97500,C0035,2024-06-27,P030,1,78.48,78.48
INV-51588,C0144,2025-08-30,P039,1,34.03,34.03
INV-76162,C0114,2024-03-12,P040,3,425.16,1275.48
INV-30861,C0141,2025-01-31,P029,1,67.72,67.72
INV-43972,C0122,2025-02-08,P029,1,289.35,289.35
INV-46347,C0064,2025-02-23,P041,1,265.97,265.97
INV-92149,C0134,2023-09-02,P032,1,373.35,373.35
INV-20155,C0071,2024-12-31,P029,2,36.73,73.46
INV-45614,C0074,2023-12-10,P016,1,379.26,379.26
INV-20561,C0082,2023-05-22,P035,1,515.33,515.33
INV-60205,C0039,2024-12-11,P015,2,106.13,212.26
INV-38043,C0040,2023-03-07,P046,1,389.03,389.03
INV-53369,C0107,2024-07-09,P027,1,355.61,355.61
INV-18161,C0120,2023-07-31,P027,5,349.53,1747.6499999999999
INV-86556,C0108,2025-08-26,P025,1,389.54,389.54
INV-85456,C0179,2024-01-25,P002,1,331.91,331.91
INV-56105,C0123,2023-11-02,P001,5,237.8,1189.0
INV-80545,C0100,2025-02-04,P027,6,544.16,3264.96
INV-38906,C0140,2024-05-14,P039,1,50.92,50.92
INV-67125,C0057,2024-05-12,P018,1,20.75,20.75
INV-54057,C0008,2024-11-15,P025,1,412.97,412.97
INV-31632,C0174,2025-05-10,P026,1,198.2,198.2
INV-91560,C0120,2024-06-30,P009,3,23.73,71.19
INV-87580,C0007,2024-07-31,P026,3,176.29,528.87
INV-21003,C0170,2024-10-20,P002,1,421.07,421.07
INV-70515,C0110,2023-07-06,P009,1,527.71,527.71
INV-59689,C0013,2023-12-02,P017,2,484.05,968.1
INV-52840,C0055,2023-12-12,P030,1,114.69,114.69
INV-65255,C0098,2023-09-16,P018,2,486.03,972.06
INV-12540,C0021,2025-02-06,P031,9,253.44,2280.96
INV-55870,C0139,2023-08-18,P004,1,468.08,468.08
INV-95426,C0167,2023-02-11,P005,1,559.15,559.15
INV-36130,C0008,2025-05-09,P016,3,263.11,789.33
INV-29973,C0006,2023-09-02,P040,2,455.18,910.36
INV-97747,C0033,2023-04-28,P031,1,542.51,542.51
INV-70952,C0145,2024-12-17,P014,1,497.61,497.61
INV-58351,C0066,2023-06-21,P050,1,538.36,538.36
INV-25012,C0156,2025-03-07,P039,1,16.39,16.39
INV-24168,C0042,2024-08-15,P020,4,63.86,255.44
INV-85470,C0007,2024-11-24,P020,1,570.54,570.54
INV-35995,C0097,2023-03-19,P026,6,348.33,2089.98
INV-92213,C0152,2023-09-06,P045,1,274.58,274.58
INV-49529,C0027,2025-05-20,P045,1,203.91,203.91
INV-25866,C0176,2025-03-26,P039,2,453.9,907.8
INV-55508,C0145,2024-06-29,P003,3,475.87,1427.6100000000001
INV-58571,C0110,2023-03-12,P043,1,301.71,301.71
INV-54725,C0130,2023-01-13,P042,1,334.22,334.22
INV-23833,C0108,2024-03-19,P032,1,533.75,533.75
INV-70258,C0093,2024-12-25,P041,1,79.07,79.07
INV-33086,C0040,2025-01-21,P028,1,459.29,459.29
INV-45400,C0134,2024-09-22,P042,1,69.66,69.66
INV-73372,C0138,2024-04-21,P050,1,423.57,423.57
INV-87656,C0112,2023-10-02,P047,1,494.9,494.9
INV-21359,C0083,2023-10-13,P016,2,58.0,116.0
INV-70910,C0116,2024-08-06,P016,1,592.12,592.12
INV-59674,C0157,2023-12-11,P043,1,228.68,228.68
INV-52600,C0008,2023-07-06,P032,3,568.88,1706.6399999999999
INV-56507,C0125,2025-03-27,P014,8,454.49,3635.92
INV-46655,C0067,2025-06-20,P022,1,59.27,59.27
INV-46211,C0153,2024-07-23,P045,3,339.46,1018.3799999999999
INV-35042,C0003,2023-03-29,P034,1,544.75,544.75
INV-63271,C0062,2024-05-15,P047,1,300.65,300.65
INV-41499,C0143,2024-12-08,P049,1,286.51,286.51
INV-74332,C0122,2024-04-03,P042,1,80.1,80.1
INV-48566,C0005,2023-08-15,P006,1,393.03,393.03
INV-41890,C0104,2023-11-10,P045,2,354.19,708.38
INV-58368,C0170,2024-04-29,P038,6,231.17,1387.02
INV-55056,C0142,2024-03-11,P034,1,522.47,522.47
INV-56112,C0141,2024-12-20,P022,1,578.3,578.3
INV-50189,C0117,2023-09-15,P018,1,582.23,582.23
INV-35242,C0060,2023-11-20,P008,1,535.77,535.77
INV-80236,C0031,2025-08-31,P048,1,595.85,595.85
INV-35105,C0177,2023-08-10,P012,1,336.77,336.77
INV-87278,C0124,2025-02-17,P018,6,318.63,1911.78
INV-47093,C0135,2023-04-13,P039,1,420.49,420.49
INV-39816,C0050,2024-01-05,P019,1,380.26,380.26
INV-11854,C0046,2024-12-26,P020,1,541.68,541.68
INV-45954,C0137,2023-02-16,P009,1,175.77,175.77
INV-48290,C0014,2024-12-15,P036,6,535.26,3211.56
INV-74340,C0033,2023-04-16,P041,1,375.88,375.88
INV-47268,C0004,2024-04-25,P037,1,120.99,120.99
INV-54657,C0123,2023-07-08,P029,1,218.48,218.48
INV-72616,C0014,2023-04-27,P017,1,55.86,55.86
INV-74454,C0017,2023-03-17,P026,7,591.86,4143.02
INV-99974,C0148,2023-02-24,P041,2,326.3,652.6
INV-83772,C0039,2025-08-29,P010,1,490.14,490.14
INV-42530,C0078,2023-05-02,P006,2,105.94,211.88
INV-64548,C0143,2024-09-12,P049,4,495.3,1981.2
INV-39581,C0153,2025-03-05,P040,5,438.17,2190.85
INV-69049,C0134,2025-07-19,P025,1,256.76,256.76
INV-87139,C0114,2024-03-15,P020,5,520.98,2604.9
INV-91399,C0079,2023-03-03,P037,1,25.56,25.56
INV-23006,C0157,2025-08-28,P048,1,488.23,488.23
INV-37659,C0054,2023-09-28,P041,8,98.75,790.0
INV-30585,C0170,2023-09-03,P006,1,234.73,234.73
INV-19838,C0045,2023-06-10,P036,7,506.85,3547.9500000000003
INV-69048,C0001,2024-12-06,P027,3,286.53,859.5899999999999
INV-48175,C0153,2023-02-03,P031,1,171.31,171.31
INV-47056,C0060,2024-12-20,P019,1,520.19,520.19
INV-40595,C0117,2025-08-04,P005,3,599.83,1799.4900000000002
INV-87304,C0068,2024-11-08,P041,11,337.7,3714.7
INV-25043,C0051,2024-07-11,P028,2,567.41,1134.82
INV-29528,C0058,2025-07-19,P042,3,155.94,467.82
INV-19359,C0069,2023-03-03,P010,1,86.2,86.2
INV-87993,C0043,2025-02-05,P020,6,367.64,2205.84
INV-67560,C0146,2023-05-08,P019,1,406.3,406.3
INV-49857,C0120,2024-12-17,P045,1,221.32,221.32
INV-75597,C0104,2024-07-06,P018,1,406.23,406.23
INV-20543,C0127,2024-09-04,P029,1,465.67,465.67
INV-52247,C0011,2024-09-10,P028,1,512.79,512.79
INV-21970,C0065,2023-08-23,P002,1,340.95,340.95
INV-86955,C0173,2025-08-31,P037,4,248.05,992.2
INV-98117,C0006,2025-04-21,P049,1,26.98,26.98
INV-15273,C0069,2025-02-20,P037,2,375.98,751.96
INV-78021,C0045,2024-10-29,P031,2,135.65,271.3
INV-33788,C0114,2024-08-22,P018,1,18.58,18.58
INV-74451,C0112,2023-04-04,P041,1,358.05,358.05
INV-63523,C0121,2023-12-08,P023,1,268.11,268.11
INV-23710,C0083,2025-05-28,P043,4,215.47,861.88
INV-63955,C0042,2024-12-11,P022,1,472.36,472.36
INV-96846,C0127,2025-08-25,P019,1,377.03,377.03
INV-82102,C0103,2023-02-07,P049,3,570.22,1710.66
INV-51224,C0117,2023-09-16,P006,1,556.69,556.69
INV-62976,C0083,2025-06-04,P008,1,162.36,162.36
INV-96200,C0132,2025-06-09,P001,1,588.22,588.22
INV-64165,C0139,2023-02-25,P030,1,203.96,203.96
INV-57419,C0049,2024-09-29,P034,2,151.69,303.38
INV-67939,C0128,2025-02-17,P041,1,86.04,86.04
INV-45003,C0014,2024-07-16,P014,1,99.62,99.62
INV-67424,C0034,2025-06-20,P019,1,388.12,388.12
INV-25915,C0179,2023-01-30,P032,1,213.94,213.94
INV-41365,C0162,2024-12-27,P039,4,289.64,1158.56
INV-82199,C0041,2023-01-15,P020,2,111.67,223.34
INV-22217,C0142,2023-08-19,P027,1,34.11,34.11
INV-25396,C0030,2024-10-25,P030,1,174.37,174.37
INV-48254,C0040,2024-06-05,P032,1,62.33,62.33
INV-73242,C0070,2024-04-28,P027,1,281.86,281.86
INV-82255,C0063,2023-05-29,P030,1,224.92,224.92
INV-88561,C0099,2024-06-04,P013,1,417.33,417.33
INV-46208,C0035,2025-03-02,P005,1,481.65,481.65
INV-76550,C0107,2023-10-01,P022,1,58.24,58.24
INV-49132,C0001,2025-05-07,P019,4,553.31,2213.24
INV-96499,C0151,2024-05-16,P038,1,173.36,173.36
INV-80592,C0039,2024-05-10,P029,3,451.47,1354.41
INV-82340,C0089,2025-02-20,P022,1,133.52,133.52
INV-69682,C0140,2025-08-13,P025,1,295.87,295.87
INV-41300,C0083,2024-08-08,P013,1,227.66,227.66
INV-63841,C0099,2023-02-14,P015,1,451.01,451.01
INV-71993,C0082,2024-12-23,P048,1,158.94,158.94
INV-96991,C0098,2025-03-22,P025,2,538.17,1076.34
INV-74923,C0167,2023-02-07,P010,1,323.95,323.95
INV-87356,C0033,2023-12-06,P033,1,273.97,273.97
INV-23069,C0026,2024-06-22,P029,1,153.06,153.06
INV-28894,C0117,2024-02-24,P001,1,232.6,232.6
INV-19807,C0168,2024-04-25,P010,1,200.03,200.03
INV-91691,C0068,2024-12-10,P022,1,203.22,203.22
INV-20527,C0102,2025-05-22,P042,1,535.41,535.41
INV-79942,C0085,2024-01-25,P044,1,410.67,410.67
INV-73956,C0082,2025-06-12,P041,3,304.08,912.24
INV-90931,C0139,2023-03-12,P003,1,326.89,326.89
INV-99705,C0061,2025-08-01,P041,1,449.81,449.81
INV-21846,C0074,2024-03-20,P015,1,85.27,85.27
INV-93066,C0026,2024-12-21,P049,1,224.22,224.22
INV-31805,C0026,2024-12-11,P029,2,346.76,693.52
INV-16028,C0077,2023-11-29,P002,1,592.04,592.04
INV-56984,C0015,2024-01-19,P019,1,149.96,149.96
INV-42007,C0111,2024-06-27,P010,1,100.19,100.19
INV-99364,C0106,2025-03-22,P037,1,104.8,104.8
INV-32946,C0047,2023-03-22,P011,1,178.21,178.21
INV-91226,C0157,2024-11-30,P025,1,539.09,539.09
INV-86435,C0062,2023-05-27,P032,1,319.46,319.46
INV-93611,C0060,2023-09-18,P030,1,589.6,589.6
INV-97404,C0118,2023-01-10,P017,1,244.73,244.73
INV-98815,C0120,2024-07-13,P019,6,520.65,3123.8999999999996
INV-67898,C0041,2025-08-25,P005,3,162.16,486.48
INV-49210,C0089,2024-10-16,P038,1,404.5,404.5
INV-42780,C0109,2024-04-12,P045,5,338.49,1692.45
INV-60422,C0078,2025-05-23,P013,1,175.19,175.19
INV-41091,C0124,2024-01-26,P007,2,120.36,240.72
INV-85341,C0147,2023-10-30,P023,1,261.01,261.01
INV-12875,C0180,2025-04-29,P019,1,153.02,153.02
INV-45976,C0169,2023-01-09,P026,1,370.27,370.27
INV-16428,C0145,2025-07-21,P044,1,352.93,352.93
INV-75107,C0156,2025-05-02,P048,1,293.87,293.87
INV-40162,C0074,2024-09-13,P050,1,40.58,40.58
INV-93442,C0091,2023-07-14,P015,1,89.3,89.3
INV-98835,C0159,2025-02-12,P017,1,594.08,594.08
INV-27927,C0169,2024-10-05,P044,1,487.83,487.83
INV-94717,C0025,2023-02-10,P041,1,412.09,412.09
INV-14373,C0080,2024-08-16,P029,2,361.43,722.86
INV-27224,C0094,2023-04-03,P047,1,252.99,252.99
INV-64460,C0076,2023-06-29,P021,1,558.42,558.42
INV-80701,C0052,2025-06-16,P009,3,579.37,1738.1100000000001
INV-75771,C0094,2025-07-24,P034,1,441.21,441.21
INV-43681,C0070,2025-07-24,P011,5,116.93,584.6500000000001
INV-54396,C0124,2025-04-03,P019,1,447.26,447.26
INV-19869,C0030,2023-05-25,P030,1,506.68,506.68
INV-98395,C0058,2024-02-11,P044,1,479.21,479.21
INV-21836,C0143,2025-03-20,P024,1,106.56,106.56
INV-44663,C0102,2024-07-03,P001,1,490.6,490.6
INV-58311,C0032,2024-11-19,P030,2,318.61,637.22
INV-86619,C0173,2024-01-26,P017,1,527.55,527.55
INV-24201,C0164,2024-11-22,P024,1,491.79,491.79
INV-13280,C0060,2024-09-26,P031,1,232.4,232.4
INV-89964,C0144,2023-08-15,P021,1,187.81,187.81
INV-93283,C0166,2025-04-23,P005,2,306.61,613.22
INV-49608,C0119,2024-10-26,P045,1,540.75,540.75
INV-28320,C0105,2023-02-16,P008,1,330.7,330.7
INV-74569,C0010,2023-04-29,P020,4,378.3,1513.2
INV-80457,C0025,2023-05-19,P016,1,564.5,564.5
INV-58629,C0100,2024-11-17,P030,1,207.59,207.59
INV-64935,C0179,2024-08-24,P035,1,478.47,478.47
INV-95841,C0040,2023-04-12,P027,1,324.74,324.74
INV-63492,C0126,2025-08-19,P040,4,475.27,1901.08
INV-58566,C0072,2023-08-11,P003,1,193.92,193.92
INV-40947,C0114,2025-05-25,P029,1,448.93,448.93
INV-99873,C0093,2024-01-12,P007,1,346.23,346.23
INV-57012,C0140,2023-03-04,P042,2,527.29,1054.58
INV-34878,C0102,2023-05-06,P018,1,494.54,494.54
INV-96870,C0117,2023-08-06,P006,1,509.41,509.41
INV-88269,C0165,2023-01-22,P041,1,244.4,244.4
INV-41925,C0013,2023-05-09,P022,3,98.45,295.35
INV-18992,C0145,2025-04-29,P014,1,436.13,436.13
INV-86858,C0142,2023-08-10,P014,2,388.28,776.56
INV-29340,C0060,2025-03-18,P022,2,330.21,660.42
INV-46342,C0153,2025-05-29,P001,1,213.96,213.96
INV-80807,C0038,2023-09-14,P009,1,545.99,545.99
INV-96646,C0045,2025-06-06,P008,1,246.5,246.5
INV-11947,C0007,2024-01-02,P009,1,568.9,568.9
INV-52437,C0061,2023-01-17,P038,1,355.88,355.88
INV-16868,C0045,2023-05-10,P017,1,370.76,370.76
INV-24896,C0108,2025-02-02,P034,1,524.55,524.55
INV-68756,C0017,2025-03-07,P031,5,343.43,1717.15
INV-87812,C0093,2023-04-22,P033,2,554.27,1108.54
INV-39038,C0116,2025-08-26,P033,2,100.0,200.0
INV-96363,C0158,2024-06-17,P003,1,367.96,367.96
INV-94323,C0078,2023-02-01,P030,1,444.5,444.5
INV-62640,C0016,2024-03-12,P031,5,556.09,2780.4500000000003
INV-74260,C0176,2024-12-30,P007,1,76.81,76.81
INV-20589,C0114,2023-11-26,P005,8,504.95,4039.6
INV-18609,C0156,2023-05-10,P010,1,553.3,553.3
INV-92978,C0071,2024-08-22,P040,4,316.11,1264.44
INV-52622,C0141,2024-01-26,P046,1,245.41,245.41
INV-48652,C0153,2024-04-09,P034,1,207.77,207.77
INV-66387,C0130,2023-04-12,P039,3,12.73,38.19
INV-95814,C0180,2024-10-28,P008,1,244.92,244.92
INV-38183,C0142,2024-03-16,P047,1,552.71,552.71
INV-64239,C0116,2023-12-14,P015,1,214.7,214.7
INV-64524,C0117,2025-01-17,P026,2,276.81,553.62
INV-65936,C0025,2023-11-17,P021,1,276.94,276.94
INV-59060,C0171,2023-06-06,P017,1,114.07,114.07
INV-18799,C0176,2023-04-04,P031,1,257.17,257.17
INV-66606,C0022,2023-04-09,P006,4,223.81,895.24
INV-82924,C0096,2023-03-03,P009,1,383.04,383.04
INV-83620,C0151,2023-12-04,P036,1,401.49,401.49
INV-63845,C0172,2023-12-29,P008,1,577.03,577.03
INV-65435,C0171,2025-06-07,P049,1,254.63,254.63
INV-88696,C0014,2023-11-16,P019,1,598.16,598.16
INV-85748,C0091,2024-06-03,P007,1,361.28,361.28
INV-96079,C0055,2024-05-08,P010,1,452.48,452.48
INV-55890,C0058,2025-05-15,P007,1,539.85,539.85
INV-25058,C0143,2025-02-19,P024,1,122.51,122.51
INV-39643,C0072,2025-04-06,P037,1,288.52,288.52
INV-91490,C0110,2024-09-20,P036,1,48.77,48.77
INV-82972,C0173,2023-01-27,P042,2,277.44,554.88
INV-45054,C0156,2023-01-30,P043,1,270.05,270.05
INV-50499,C0047,2025-08-01,P018,1,340.19,340.19
INV-10800,C0087,2023-07-05,P023,1,117.34,117.34
INV-96159,C0037,2024-02-15,P037,3,568.21,1704.63
INV-92991,C0018,2023-02-01,P010,1,169.74,169.74
INV-79531,C0024,2023-08-09,P048,2,251.15,502.3
INV-69460,C0097,2023-12-16,P027,1,102.13,102.13
INV-50846,C0041,2025-01-08,P024,2,398.77,797.54
INV-84395,C0084,2024-09-02,P050,1,140.96,140.96
INV-30392,C0022,2023-06-11,P004,1,406.42,406.42
INV-98338,C0159,2023-03-25,P004,1,71.42,71.42
INV-96761,C0070,2024-03-10,P029,3,115.34,346.02
INV-67939,C0125,2024-02-29,P039,2,150.53,301.06
INV-77154,C0070,2023-04-27,P014,1,153.47,153.47
INV-24534,C0089,2023-10-18,P028,2,514.86,1029.72
INV-87743,C0174,2024-05-13,P044,3,244.34,733.02
INV-50425,C0135,2023-02-16,P043,2,130.94,261.88
INV-88554,C0057,2023-02-26,P026,1,538.84,538.84
INV-49507,C0002,2025-08-26,P014,1,60.45,60.45
INV-27987,C0055,2025-02-21,P050,1,25.65,25.65
INV-53007,C0066,2023-05-03,P019,1,353.99,353.99
INV-66446,C0002,2023-06-29,P032,1,536.68,536.68
INV-79806,C0034,2024-12-21,P025,3,211.67,635.01
INV-83233,C0059,2025-05-03,P033,1,234.02,234.02
INV-19447,C0172,2024-02-11,P023,1,168.16,168.16
INV-12456,C0011,2024-04-15,P028,1,251.55,251.55
INV-85465,C0020,2024-03-15,P021,1,267.31,267.31
INV-93904,C0147,2024-03-03,P026,1,569.59,569.59
